label,GPT4_LLM_Label
time_manipulation,Timestamp Dependence
time_manipulation,Timestamp Dependence
time_manipulation,Timestamp Dependence
time_manipulation,Timestamp Dependence
time_manipulation,Timestamp Dependence
time_manipulation,Timestamp Dependence
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Access Control
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Access Control
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Access Control
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Access Control
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
unchecked_low_level_calls,Unchecked Low-Level Calls
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Front-Running
timestamp dependency (TP),Access Control
timestamp dependency (TP),Logical Flaws
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Reentrancy
timestamp dependency (TP),Insecure Randomness
timestamp dependency (TP),Timestamp Dependence
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Integer Overflow/Underflow
timestamp dependency (TP),Economic Exploits
timestamp dependency (TP),Access Control
timestamp dependency (TP),Oracle Dependencies
timestamp dependency (TP),Access Control
timestamp dependency (TP),Front-Running
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Integer Overflow/Underflow
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Timestamp Dependence
timestamp dependency (TP),Unsafe Arithmetic Operations
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Front-Running
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Logical Flaws
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Timestamp Dependence
timestamp dependency (TP),Timestamp Dependence
timestamp dependency (TP),Access Control
timestamp dependency (TP),Front-Running
timestamp dependency (TP),Access Control
timestamp dependency (TP),Oracle Dependencies
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Insecure Randomness
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Unsafe Arithmetic Operations
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Unexpected Ether Balance
timestamp dependency (TP),Access Control
timestamp dependency (TP),Timestamp Dependence
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Integer Overflow/Underflow
timestamp dependency (TP),Integer Overflow/Underflow
timestamp dependency (TP),Front-Running
timestamp dependency (TP),Access Control
timestamp dependency (TP),Integer Overflow/Underflow
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Front-Running
timestamp dependency (TP),Front-Running
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
timestamp dependency (TP),Access Control
